"customerkey","name","gender","datefirstpurchase","addressline1","city","state","country","salesterritorykey"
15611,"Michele NULL Patel","F","2022-06-14","64, avenue des Laurentides","Colombes","Hauts de Seine","France",7
15612,"Damien NULL Ma","M","2022-05-08","4867 Glaze Dr","Milton Keynes","England","United Kingdom",10
15613,"Melinda NULL Moreno","F","2022-05-23","7408, rue Maillard","Drancy","Seine Saint Denis","France",7
15614,"Faith S Simmons","F","2020-10-13","3744 Dalis Drive","Oxford","England","United Kingdom",10
15615,"Erika NULL Alvarez","F","2022-03-26","6837 Weber Bryan St.","Milton Keynes","England","United Kingdom",10
15616,"Janet K Alonso","F","2022-09-21","610, boulevard Tremblay","Orleans","Loiret","France",7
15617,"Dawn A Chande","F","2022-02-01","216, quai Paul Doumer","Paris","Seine (Paris)","France",7
15618,"Gabriel NULL Sharma","M","2022-04-01","Hansaallee 482","Werne","Nordrhein-Westfalen","Germany",8
15619,"Levi NULL Subram","M","2020-10-13","4822 Center Street","Cheltenham","England","United Kingdom",10
15620,"Dominique S Subram","F","2020-10-05","7098 Walnut Blvd.","London","England","United Kingdom",10
15621,"Kelli T Wu","F","2020-10-07","7763 Folson Drive","Liverpool","England","United Kingdom",10
15622,"Yvonne NULL Schleger","M","2021-01-14","Charlottenstr 3918","Essen","Hamburg","Germany",8
15623,"Molly A Madan","F","2021-08-25","70, place de la République","Paris","Seine (Paris)","France",7
15624,"Tyrone NULL Rubio","M","2021-08-17","4343, rue Léo Delibes","Paris La Defense","Hauts de Seine","France",7
15625,"Clinton NULL Alvarez","M","2021-02-08","Berliner Platz 554","Bonn","Hamburg","Germany",8
15626,"Eduardo F White","M","2021-02-28","Parkstr 851","Bottrop","Nordrhein-Westfalen","Germany",8
15627,"Troy NULL Srini","M","2021-02-17","Postenweg 2228","Frankfurt am Main","Hamburg","Germany",8
15628,"Brianna T Sandberg","F","2022-10-17","Berliner Platz 664","Solingen","Nordrhein-Westfalen","Germany",8
15629,"Meghan A Ruiz","F","2022-12-31","Alte Landstr 221","Werne","Nordrhein-Westfalen","Germany",8
15630,"Nichole C Tang","F","2020-10-24","1492 Bermad Dr.","Milton Keynes","England","United Kingdom",10
15631,"Clayton NULL Andersen","M","2020-10-24","8844 Bel Aire Drive","Oxford","England","United Kingdom",10
15632,"Gloria P Carlson","F","2020-11-09","5256 Chickpea Ct.","London","England","United Kingdom",10
15633,"Ashlee D Shan","F","2022-05-21","Hans-Rosenthal-Platz 7","Dresden","Hessen","Germany",8
15634,"Dalton L Kelly","M","2022-06-18","9987 Roseann Dr.","Warrington","England","United Kingdom",10
15635,"Sheila NULL Martin","F","2022-05-13","7326 Kenmore","Newcastle upon Tyne","England","United Kingdom",10
15636,"David P White","M","2022-06-11","Wasserstr 345","Darmstadt","Hessen","Germany",8
15637,"Russell A Sharma","M","2021-08-04","6, route de Marseille","Saint Ouen","Charente-Maritime","France",7
15638,"Rosa J He","F","2020-11-19","1161 Daffodil Dr.","Milton Keynes","England","United Kingdom",10
15639,"Melanie H Coleman","F","2022-04-06","8446 Wheel Ave.","Caloundra","Queensland","Australia",9
15640,"Gary NULL Gomez","M","2022-01-28","4744 Mary Dr.","Caloundra","Queensland","Australia",9
15641,"Marco L Sara","M","2022-04-22","2756 Eastgate Ave.","Cranbourne","Victoria","Australia",9
15642,"Cara B Gao","F","2021-10-31","8420 Dayton Court","Melbourne","Victoria","Australia",9
15643,"Omar NULL Raji","M","2021-10-30","5121 Mount Hood Circle","Rhodes","New South Wales","Australia",9
15644,"Savannah F Gonzalez","F","2021-11-11","5227 Sutton Circle","Goulburn","New South Wales","Australia",9
15645,"Javier NULL Gill","M","2021-11-02","3440 Alvina Drive","Newcastle","New South Wales","Australia",9
15646,"Emma A Kelly","F","2021-11-15","3112 Gilardy Dr.","Hobart","Tasmania","Australia",9
15647,"Dawn NULL He","F","2021-11-06","536 Beech Ct.","Gold Coast","Queensland","Australia",9
15648,"Edgar A Gonzalez","M","2021-10-28","570 Highridge Court","Geelong","Victoria","Australia",9
15649,"Melinda T Jimenez","F","2021-02-10","Rotthäuser Weg 866","Paderborn","Nordrhein-Westfalen","Germany",8
15650,"Ronnie NULL Li","M","2022-12-14","1010, avenue de l´ Union Centrale","Saint Germain en Laye","Yveline","France",7
15651,"Ann T Lopez","F","2021-08-13","1, rue de Maubeuge","Morangis","Essonne","France",7
15652,"Barbara M Wang","F","2020-11-17","438 Post Road","Berks","England","United Kingdom",10
15653,"Gerald E Madan","M","2020-11-09","109 Clayton Road","London","England","United Kingdom",10
15654,"Levi NULL Fernandez","M","2022-06-10","9193, place du Tertre","Paris","Seine (Paris)","France",7
15655,"Deanna NULL Gomez","F","2021-02-22","Kalkweg 4435","Essen","Hamburg","Germany",8
15656,"Darryl NULL Zhao","M","2021-02-10","Moritzstr 44","Sulzbach Taunus","Saarland","Germany",8
15657,"Marcus A Hayes","M","2020-11-05","2775 Mt. Olivet Pl.","Warrington","England","United Kingdom",10
15658,"Victoria NULL Rogers","F","2022-09-01","61, rue des Rosiers","Metz","Moselle","France",7
15659,"Angela J Rivera","F","2021-02-16","Klara Straße 463","Darmstadt","Hessen","Germany",8
15660,"April NULL Jai","F","2020-12-17","209 Mobile Lane","London","England","United Kingdom",10
15661,"Brandon J Robinson","M","2020-12-06","9520 Glenhaven Ave.","Stoke-on-Trent","England","United Kingdom",10
15662,"Megan M Richardson","F","2020-12-06","7129 Oakmead","York","England","United Kingdom",10
15663,"Mandy A Chen","F","2021-08-18","8, avenue de Norvege","Paris","Seine (Paris)","France",7
15664,"Jill NULL Vazquez","F","2021-02-01","Marienplatz 5","Offenbach","Saarland","Germany",8
15665,"Kristi P Sai","F","2021-08-13","1055, rue Basse-du-Rocher","Paris","Seine (Paris)","France",7
15666,"Bianca B Liang","F","2021-08-20","55, rue de la Cavalerie","Lieusaint","Seine et Marne","France",7
15667,"Hector NULL Ramos","M","2021-01-29","Parkstr 4256","Paderborn","Hamburg","Germany",8
15668,"Erick E Fernandez","M","2020-12-24","1948 O Avenue","Watford","England","United Kingdom",10
15669,"Paul J Suurs","F","2020-12-08","3327 Rockridge Dr.","York","England","United Kingdom",10
15670,"Sergio S Sánchez","M","2022-12-17","22, rue de l'Espace De Schengen","Orleans","Loiret","France",7
15671,"Lawrence NULL Torres","M","2022-02-28","869 Welle Road","Liverpool","England","United Kingdom",10
15672,"Kelvin E Nara","M","2022-12-24","Pappelallee 667","Paderborn","Nordrhein-Westfalen","Germany",8
15673,"Jon NULL Goel","M","2022-04-10","71, avenue de la Gare","Versailles","Yveline","France",7
15674,"Tommy A Raheem","M","2021-03-13","Zeiter Weg 9963","Erlangen","Bayern","Germany",8
15675,"Jay A Alonso","M","2021-03-09","Kurfürstenstr 594","Hof","Bayern","Germany",8
15676,"Todd NULL Wang","M","2021-08-24","28bis, boulevard du Montparnasse","Tremblay-en-France","Seine Saint Denis","France",7
15677,"Alyssa C Bradley","F","2021-09-27","116, boulevard d´Albi","Bobigny","Seine Saint Denis","France",7
15678,"Susan NULL Zhou","F","2021-09-08","95, rue Ste-Honoré","Morangis","Essonne","France",7
15679,"Robert NULL Patterson","M","2022-05-11","35, rue de la Cavalerie","Roubaix","Nord","France",7
15680,"Tasha NULL She","F","2022-07-05","Wallstr 25","Neunkirchen","Saarland","Germany",8
15681,"Emma P Gonzales","F","2022-02-01","6668 Mazatlan","Oxford","England","United Kingdom",10
15682,"Heidi R Garcia","F","2023-01-11","Lindenalle 1384","Bonn","Hamburg","Germany",8
15683,"Jessie NULL Carlson","F","2022-03-13","Nollendorfplatz 518","Braunschweig","Nordrhein-Westfalen","Germany",8
15684,"Tyrone NULL Suarez","M","2021-03-09","Kalkweg 123","Kiel","Saarland","Germany",8
15685,"Robin NULL Vazquez","F","2021-03-25","Winterfeldtstr 5557","Offenbach","Saarland","Germany",8
15686,"Pedro A Vazquez","M","2022-02-26","745 Harvey Way","London","England","United Kingdom",10
15687,"Jay NULL Suri","M","2021-09-14","33, allée des Princes","Les Ulis","Essonne","France",7
15688,"Chase J Gray","M","2021-09-08","15, rue Philibert-Delorme","Paris","Seine (Paris)","France",7
15689,"Stacey NULL Wang","F","2022-05-04","Welt Platz 33","Leipzig","Nordrhein-Westfalen","Germany",8
15690,"Clifford R Perez","M","2022-10-21","8361 Flora Ave.","Runcorn","England","United Kingdom",10
15691,"Julian J Henderson","M","2020-12-27","6804 Alovera Road","Watford","England","United Kingdom",10
15692,"Ryan J Garcia","M","2020-11-30","5329 Notre Dame Ave","Oxford","England","United Kingdom",10
15693,"Isabel NULL Barnes","F","2021-03-28","Haberstr 39","Darmstadt","Hessen","Germany",8
15694,"Stephanie NULL Diaz","F","2022-09-15","1379 T St.","Cheltenham","England","United Kingdom",10
15695,"Bruce NULL Gomez","M","2020-11-29","4471 Willcrest Circle","Newcastle upon Tyne","England","United Kingdom",10
15696,"Damien A Sun","M","2022-06-27","72, place Beaubernard","Pantin","Seine Saint Denis","France",7
15697,"Julia NULL Morris","F","2021-03-16","Essener Straße 8215","Ingolstadt","Bayern","Germany",8
15698,"Susan D Wang","F","2022-11-11","Rykestr 8114","Werne","Nordrhein-Westfalen","Germany",8
15699,"Jonathon F Hernandez","M","2021-01-05","7680 Lay Brooke Way","Woolston","England","United Kingdom",10
15700,"Eugene R Guo","M","2021-09-27","8139 Clark Creek Lane","Paris","Seine (Paris)","France",7
15701,"Jillian R Kapoor","F","2022-03-29","2828 Rogers Ave.","Cheltenham","England","United Kingdom",10
15702,"Ruth NULL Mehta","F","2021-01-09","7950 H Pine Creek Way","High Wycombe","England","United Kingdom",10
15703,"Alison NULL Chande","F","2022-01-28","Postfach 11 05 00","Bonn","Hamburg","Germany",8
15704,"Peter E Luo","M","2022-08-19","Alderweg 370","München","Hessen","Germany",8
15705,"Gabriel NULL Simmons","M","2022-05-20","Hunzinger Allee 193","Erlangen","Bayern","Germany",8
15706,"Tina L Arthur","F","2022-03-12","5710, cours Mirabeau","Saint Ouen","Somme","France",7
15707,"Robin NULL Rubio","F","2022-09-12","Parise Straße 40552","Ingolstadt","Bayern","Germany",8
15708,"Nina NULL Jai","F","2022-02-23","Karl Liebknecht str 577","München","Hamburg","Germany",8
15709,"Chelsea M Prasad","F","2022-03-24","24, rue de la Centenaire","Colombes","Hauts de Seine","France",7
15710,"Brandy A Rana","F","2021-09-02","33, rue de l'Espace De Schengen","Villeneuve-d'Ascq","Nord","France",7
15711,"Jeffery NULL Liang","M","2022-05-21","6753 Mines Road","Cambridge","England","United Kingdom",10
15712,"Whitney NULL Chandra","F","2022-07-11","2237 Buena Vista Ave.","London","England","United Kingdom",10
15713,"Hannah F Lee","F","2022-11-08","9771 Wesley Court","Runcorn","England","United Kingdom",10
15714,"Bethany W Pal","F","2022-10-09","24, place de Fontenoy","Boulogne-Billancourt","Hauts de Seine","France",7
15715,"Isabella NULL Adams","F","2022-07-29","1933 Rock Creek Pl.","Townsville","Queensland","Australia",9
15716,"Roy NULL Madan","M","2021-11-19","1933 Rock Creek Pl.","Hawthorne","Queensland","Australia",9
15717,"Alexia M Henderson","F","2021-11-11","9556 Nightingale Drive","Sydney","New South Wales","Australia",9
15718,"Heather L Lin","F","2022-09-16","4890 Heron Ct","Darlinghurst","New South Wales","Australia",9
15719,"Lacey A Liang","F","2021-11-23","3284 Pheasant Court","Silverwater","New South Wales","Australia",9
15720,"Jaime NULL Ramos","F","2022-02-10","756 Palm Dr","Malabar","New South Wales","Australia",9
15721,"Cara R Guo","F","2022-06-17","8673 Mt. Wilson Way","Warrnambool","Victoria","Australia",9
15722,"Angela NULL Jenkins","F","2021-11-18","913 Pelican Loop","Bendigo","Victoria","Australia",9
15723,"Kate L Deng","F","2021-11-08","5802 Ampersand Drive","North Ryde","New South Wales","Australia",9
15724,"Roger L She","M","2021-11-04","6679 Stanbridge Ct.","Caloundra","Queensland","Australia",9
15725,"Trevor M Price","M","2021-11-21","1065 Coachman Pl.","Wollongong","New South Wales","Australia",9
15726,"Faith F Barnes","F","2021-11-07","6176 Crow Street","Hervey Bay","Queensland","Australia",9
15727,"Alisha A Zeng","F","2022-05-09","6173 Alier Drive","Matraville","New South Wales","Australia",9
15728,"Keith NULL Sharma","M","2022-03-08","4214 Northwood Dr.","Cranbourne","Victoria","Australia",9
15729,"Mayra M Suri","F","2021-12-27","7015 F Mt Hood Circle","Bendigo","Victoria","Australia",9
15730,"Philip NULL Dominguez","M","2022-08-19","2743 Veale Ave","Coffs Harbour","New South Wales","Australia",9
15731,"Corey R Chavez","M","2022-03-26","8287 Altura Dr.","Wollongong","New South Wales","Australia",9
15732,"Sandra V Zhu","F","2021-12-12","7001 Lanitos Ct","St. Leonards","New South Wales","Australia",9
15733,"Leslie NULL Ramos","F","2021-12-08","6644 Camino Norte","Rockhampton","Queensland","Australia",9
15734,"Alicia NULL Lal","F","2021-12-25","2419 Martindale Dr.","Wollongong","New South Wales","Australia",9
15735,"Lori A Blanco","F","2022-06-21","6966 Eaker Way","Darlinghurst","New South Wales","Australia",9
15736,"Sheena NULL Raje","F","2022-11-07","5707 Monte Vista Road","Beverly Hills","California","United States",4
15737,"Alexander J Robinson","M","2021-09-02","4273 Alum Rock Drive","Lynnwood","Washington","United States",1
15738,"Abigail NULL Miller","F","2022-12-16","5919 Zartop Street","Torrance","California","United States",4
15739,"Garrett NULL Rogers","M","2021-08-28","5707 Bellwood Court","Santa Monica","California","United States",4
15740,"Johnny G Kumar","M","2022-09-18","7091 Clemson Court","Beaverton","Oregon","United States",1
15741,"Isabella NULL Allen","F","2022-10-20","3189 La Salle St.","Woodland Hills","California","United States",4
15742,"Grace A Thompson","F","2022-02-16","5835 Olivera Rd.","Palo Alto","California","United States",4
15743,"Chloe M Thompson","F","2022-11-24","3748 Moss Hollow Court","Kirkland","Washington","United States",1
15744,"Angela T Gray","F","2022-08-16","898 Park Blvd.","Edmonds","Washington","United States",1
15745,"Julian NULL Hayes","M","2022-08-30","8426 Easley Dr.","Bellingham","Washington","United States",1
15746,"Emily L Walker","F","2022-12-03","1604 Crown Court","Lynnwood","Washington","United States",1
15747,"Evan NULL Nelson","M","2022-09-05","2030 Lighthouse Way","Chula Vista","California","United States",4
15748,"Austin D Jenkins","M","2022-05-29","3603 Stinson","N. Vancouver","British Columbia","Canada",6
15749,"Grace NULL Brown","F","2023-01-17","2325 Mountaire Drive","Bremerton","Washington","United States",1
15750,"Kaitlin NULL Martinez","F","2021-09-08","3302 Trujillo","Bellflower","California","United States",4
15751,"Kristen NULL Xu","F","2021-12-21","935 Vista Oak Dr","Bendigo","Victoria","Australia",9
15752,"Bobby NULL Rodriguez","M","2021-12-08","592 Woodcrest Drive","Newcastle","New South Wales","Australia",9
15753,"Margaret NULL Li","F","2021-12-09","997 Grasswood Ct.","Townsville","Queensland","Australia",9
15754,"Crystal E Xu","F","2021-12-04","8036 Summit View Dr.","North Ryde","New South Wales","Australia",9
15755,"Connor NULL Flores","M","2021-12-24","9297 Mauna Kea Court","Sunbury","Victoria","Australia",9
15756,"Kari NULL Gutierrez","F","2021-12-25","8507 Mt. Palomar Pl.","Cloverdale","South Australia","Australia",9
15757,"Edwin J Ferrier","M","2021-12-24","7594 Alexander Pl.","Cloverdale","South Australia","Australia",9
15758,"Arturo NULL Andersen","M","2023-01-05","6745 Blue Ridge Drive","South Melbourne","Victoria","Australia",9
15759,"Erin L Brooks","F","2022-03-21","7253 Mt. Alpine Pl","Beaverton","Oregon","United States",1
15760,"Richard D James","M","2022-03-23","2732 Frisbie Ct.","N. Vancouver","British Columbia","Canada",6
15761,"Xavier R Thompson","M","2022-10-03","2617 Melody Drive","Newton","British Columbia","Canada",6
15762,"Garrett O Stewart","M","2022-06-25","5870 Louisiana Dr.","Oak Bay","British Columbia","Canada",6
15763,"Xavier F Young","M","2021-09-08","2575 Garcia","Walla Walla","Washington","United States",1
15764,"Louis D Guo","M","2021-12-07","4209 San Carlos Ave.","Warrnambool","Victoria","Australia",9
15765,"Gilbert C Deng","M","2021-12-22","8249 La Jolla","Bendigo","Victoria","Australia",9
15766,"Priscilla NULL Black","F","2022-01-29","2335 Peabody Road","Melton","Victoria","Australia",9
15767,"George C Prasad","M","2021-12-21","2409 Harbor View Dr.","Seaford","Victoria","Australia",9
15768,"Victoria E Walker","F","2021-10-05","5961 Crowe Pl.","Lakewood","California","United States",4
15769,"Kelly NULL Coleman","F","2021-10-05","1306 Cashew Ln","Lemon Grove","California","United States",4
15770,"Xavier H Brooks","M","2021-10-12","5900 Pinehurst Court","Spring Valley","California","United States",4
15771,"Maria A Diaz","F","2021-10-23","2613 West I St.","Lebanon","Oregon","United States",1
15772,"Christopher NULL Anderson","M","2022-07-19","2216 Blue Ridge Dr.","San Gabriel","California","United States",4
15773,"Dylan L Jenkins","M","2022-07-27","3791 Rossmor Parkway","Lincoln Acres","California","United States",4
15774,"Natalie NULL Kelly","F","2022-04-08","6501 West Way","Redmond","Washington","United States",1
15775,"Michelle W Ward","F","2022-08-17","8463 Monument Blvd.","Bellingham","Washington","United States",1
15776,"Jesse C Mitchell","M","2022-05-26","6469 Apple Drive","Newport Beach","California","United States",4
15777,"Brianna D Smith","F","2022-04-20","4762 Heights Avenue","Seattle","Washington","United States",1
15778,"José S Miller","M","2021-10-21","1946 Bayside Way","Everett","Washington","United States",1
15779,"Jackson NULL Hayes","M","2022-05-21","7783 Limewood Pl","Bremerton","Washington","United States",1
15780,"Claudia E McDonald","F","2021-10-10","6457 Appalachian Dr.","Burbank","California","United States",4
15781,"Blake E Evans","M","2021-10-17","3237 Meager Dr","San Francisco","California","United States",4
15782,"Katelyn D Collins","F","2022-12-15","3727 Winter Lane","Yakima","Washington","United States",1
15783,"David NULL Alexander","M","2022-07-10","7334 Sterling Hill","Hobart","Tasmania","Australia",9
15784,"Rebekah A Vazquez","F","2021-12-14","Conesweg 168","Rockhampton","Queensland","Australia",9
15785,"Edwin NULL Zhang","M","2021-11-29","5993 Baywood Drive","Melton","Victoria","Australia",9
15786,"Marshall V Andersen","M","2021-12-27","9281 Brushcreek Dr","Geelong","Victoria","Australia",9
15787,"Cynthia NULL Gonzalez","F","2022-04-26","5757 St. Catherines Court","St. Leonards","New South Wales","Australia",9
15788,"Barbara NULL Li","F","2021-12-17","4334 Contra Costa Blvd.","Melbourne","Victoria","Australia",9
15789,"Steve NULL Schmidt","F","2021-12-01","6126 North Sixth Street","Rockhampton","Queensland","Australia",9
15790,"Colin NULL Xu","M","2021-12-12","5133 Serrana Ct.","Hobart","Tasmania","Australia",9
15791,"Megan J Long","F","2022-03-11","6696 Adria Drive","Sydney","New South Wales","Australia",9
15792,"Ernest P Zhou","M","2021-12-03","8532 Monterey Ave","Perth","South Australia","Australia",9
15793,"Renee NULL Navarro","F","2021-12-17","6512 Buena Vista Ave.","Coffs Harbour","New South Wales","Australia",9
15794,"Tonya NULL Chander","F","2022-03-23","98 Ruby Lane","Rockhampton","Queensland","Australia",9
15795,"Diane R Munoz","F","2022-04-13","7728 Condor Place","Springwood","New South Wales","Australia",9
15796,"Edward NULL Hayes","M","2022-12-24","9155 Wee Donegal","Sunbury","Victoria","Australia",9
15797,"Isaac NULL Cox","M","2021-11-29","5252 Grand View Ave.","Wollongong","New South Wales","Australia",9
15798,"Anne NULL Munoz","F","2022-04-12","7927 Saclan Terr.","Cranbourne","Victoria","Australia",9
15799,"Victoria NULL Anderson","F","2021-12-12","408 Lislin Ct.","Bendigo","Victoria","Australia",9
15800,"Alberto L Serrano","M","2021-11-29","7932 Pierce Ct.","Lane Cove","New South Wales","Australia",9
15801,"Katrina NULL Shen","F","2021-12-26","398 Pecan Pl","East Brisbane","Queensland","Australia",9
15802,"Bridget NULL Kumar","F","2021-12-24","5854 Baird Court","Rhodes","New South Wales","Australia",9
15803,"Bradley NULL Goel","M","2022-07-28","6471 Harvey Way","Melbourne","Victoria","Australia",9
15804,"Brittney M Liu","F","2022-12-12","2520 Almond Street","Newcastle","New South Wales","Australia",9
15805,"Dawn N Lin","F","2022-12-09","1699 Meadowbrook Court","Springwood","New South Wales","Australia",9
15806,"Devin NULL Allen","M","2022-02-26","7026 Trail Way","Wollongong","New South Wales","Australia",9
15807,"Scot NULL Schulte","M","2022-03-31","5473 Olive Hill","Matraville","New South Wales","Australia",9
15808,"Natasha NULL Blanco","F","2021-12-03","581 Roanoke Dr.","Warrnambool","Victoria","Australia",9
15809,"Christian NULL Sharma","M","2022-02-22","6086 Glen Wood Drive","Port Macquarie","New South Wales","Australia",9
15810,"Regina NULL Kapoor","F","2022-04-07","1954 Sudden Loop","Seaford","Victoria","Australia",9
15811,"Barbara R. Schultz","M","2022-04-06","6321 Laguna Street","Silverwater","New South Wales","Australia",9
15812,"Logan NULL Allen","M","2022-05-20","5634 Haviland Place","Gold Coast","Queensland","Australia",9
15813,"Julian NULL Diaz","M","2022-09-12","3767 View Dr.","Redwood City","California","United States",4
15814,"Monica J Subram","F","2022-10-10","2098 Chilpancingo Pkwy.","Burlingame","California","United States",4
15815,"Nicole N Price","F","2022-04-19","4946 Abbey Court","Langford","British Columbia","Canada",6
15816,"Victoria NULL Miller","F","2022-02-21","1516 Court Lane","Haney","British Columbia","Canada",6
15817,"Chloe NULL Alexander","F","2022-05-13","9543 West I St.","Beaverton","Oregon","United States",1
15818,"Stanley NULL Perez","M","2022-12-15","2279 Pineview Lane","Bellingham","Washington","United States",1
15819,"Savannah A Cox","F","2022-09-10","8286 All Ways Drive","Puyallup","Washington","United States",1
15820,"Chase T Ward","M","2022-02-02","7179 Golden Rain","Issaquah","Washington","United States",1
15821,"Logan C Anderson","M","2022-02-03","3938 Baywood Drive","West Covina","California","United States",4
15822,"Damien M Zhu","M","2022-06-22","8208 Vista Ave.","Findon","South Australia","Australia",9
15823,"Sharon M Tang","F","2022-05-15","2107 Amending Road","Bendigo","Victoria","Australia",9
15824,"Lindsay L Kumar","F","2022-03-16","50 Relief Valley Ct","Colma","California","United States",4
15825,"Angela W Simmons","F","2023-01-14","5572 Running Springs Road","Seattle","Washington","United States",1
15826,"Marissa NULL Price","F","2022-02-16","2374 Flamingo Drive","Metchosin","British Columbia","Canada",6
15827,"Danielle NULL Ward","F","2021-10-19","1201 Ricardo Drive","Edmonds","Washington","United States",1
15828,"Robyn O Ramos","F","2022-05-02","5979 El Pueblo","Findon","South Australia","Australia",9
15829,"Devin D Diaz","M","2022-05-03","8802 Lee Lane","Melbourne","Victoria","Australia",9
15830,"Naomi NULL Alonso","F","2021-12-20","9944 Maywood Lane","Matraville","New South Wales","Australia",9
15831,"Omar NULL He","M","2021-12-05","1305 Willbrook Court","North Sydney","New South Wales","Australia",9
15832,"Manuel J Martinez","M","2021-12-24","4273 Alum Rock Drive","Cloverdale","South Australia","Australia",9
15833,"Tabitha NULL Kovar","F","2021-12-10","5476 Weber Bryan","South Melbourne","Victoria","Australia",9
15834,"Rebecca NULL Green","F","2021-10-14","224 Terrace Drive","Walla Walla","Washington","United States",1
15835,"Marcus R Smith","M","2022-12-06","350 Pastel Drive","Downey","California","United States",4
15836,"Devin L Jackson","M","2022-10-14","4890 Heron Ct","National City","California","United States",4
15837,"Julia NULL Johnston","F","2022-07-15","1906 Seaview Avenue","Bremerton","Washington","United States",1
15838,"Julia G Taylor","F","2022-04-29","8396 Ruth Drive","Fremont","California","United States",4
15839,"William A Taylor","M","2022-05-06","9994 Meadowbrook Dr.","Santa Monica","California","United States",4
15840,"Natalie M Peterson","F","2021-10-04","8245 Heartwood Drive","W. Linn","Oregon","United States",1
15841,"Luis NULL Shan","M","2021-10-12","3993 Jabber Place","Los Angeles","California","United States",4
15842,"Haley NULL Gray","F","2021-10-14","6885 Amending Drive","Spokane","Washington","United States",1
15843,"Caleb NULL Wright","M","2021-10-18","7624 Crawford","Yakima","Washington","United States",1
15844,"Megan S Brown","F","2021-10-21","5720 A St.","Grossmont","California","United States",4
15845,"Mackenzie M Carter","F","2021-10-22","486 Pacifica Avenue","Milwaukie","Oregon","United States",1
15846,"Julian NULL Flores","M","2022-07-11","4194 Baywood Drive","Metchosin","British Columbia","Canada",6
15847,"Edward J White","M","2022-05-14","7393 N Ranchford Court","Westminster","British Columbia","Canada",6
15848,"Gabrielle A Hernandez","F","2022-12-27","3340 Clifford Court","Portland","Oregon","United States",1
15849,"Destiny C Kelly","F","2022-06-13","9061 Isabel","Spokane","Washington","United States",1
15850,"Rachel NULL Bradley","F","2022-07-05","1673 Buena Vista","Victoria","British Columbia","Canada",6
15851,"Taylor A Anderson","F","2021-09-28","6727 Roux Court","Everett","Washington","United States",1
15852,"Oscar J Henderson","M","2021-10-18","2526 Sharon Dr.","Santa Cruz","California","United States",4
15853,"Jasmine NULL Brown","F","2022-06-27","4979 Sweeney Road","Mill Valley","California","United States",4
15854,"Miranda NULL Wood","F","2022-06-13","7515 Delaware Court","Downey","California","United States",4
15855,"Noah NULL Jones","M","2022-09-30","4550 Morello Ave.","Santa Cruz","California","United States",4
15856,"Luis NULL Gonzales","M","2022-01-28","7914 Woodpine","Langford","British Columbia","Canada",6
15857,"Isabella I White","F","2022-10-23","9940 Northwood Dr.","Chula Vista","California","United States",4
15858,"Jonathan D Parker","M","2022-07-22","4209 San Carlos Ave.","Concord","California","United States",4
15859,"Abigail S Ramirez","F","2022-04-22","8840 D Crane Ct","Victoria","British Columbia","Canada",6
15860,"Joe NULL Moreno","M","2021-10-01","7512 Sanford Street","Bellingham","Washington","United States",1
15861,"Damien S Zhao","M","2022-02-01","6398 Haviland Place","Berkeley","California","United States",4
15862,"Sriniwa J Narayanan","F","2021-10-15","7455 Wellington Ave.","Burbank","California","United States",4
15863,"Adam NULL Scott","M","2022-04-06","4214 Northwood Dr.","Metchosin","British Columbia","Canada",6
15864,"Lauren NULL Bailey","F","2022-05-08","8080 Lancelot Dr.","Vancouver","British Columbia","Canada",6
15865,"Isabel M Price","F","2021-10-22","2807 Charlotte Court","Palo Alto","California","United States",4
15866,"Abigail T White","F","2022-03-14","2506 Almaden Dr.","N. Vancouver","British Columbia","Canada",6
15867,"Victoria J White","F","2022-12-13","8311 Foxhill Dr.","Puyallup","Washington","United States",1
15868,"Caleb R Lal","M","2022-05-19","4037 San View Way","Sooke","British Columbia","Canada",6
15869,"Alexandra NULL Hall","F","2022-03-05","6060 Sanford Street","Port Orchard","Washington","United States",1
15870,"Zoe NULL Howard","F","2022-05-18","5024 Valley Oak Plaza","Corvallis","Oregon","United States",1
15871,"Ryan NULL Jai","M","2022-03-29","3962 Camel Place","Puyallup","Washington","United States",1
15872,"Gabriella Z Gonzalez","F","2022-11-02","5828 E. 102nd Street","Victoria","British Columbia","Canada",6
15873,"Hailey W Richardson","F","2021-10-24","8417 Estudello St.","Grossmont","California","United States",4
15874,"Samuel NULL Martin","M","2022-02-27","6791 Creekside Drive","Sooke","British Columbia","Canada",6
15875,"Devin NULL Morris","M","2022-04-08","2972 Hamiliton Ave.","Santa Monica","California","United States",4
15876,"Eduardo NULL Turner","M","2022-07-10","5345 Willow Avenue","Metchosin","British Columbia","Canada",6
15877,"Jordan S Perez","M","2022-12-26","2804 Alderwood Lane","Berkeley","California","United States",4
15878,"Kevin NULL Flores","M","2022-03-11","5901 May Rd","Oak Bay","British Columbia","Canada",6
15879,"Tyler L Wilson","M","2022-04-06","2942 Berkhire Court","Sooke","British Columbia","Canada",6
15880,"Patrick J Bailey","M","2022-03-16","5301 Loeffler Lane","Spokane","Washington","United States",1
15881,"Destiny S Williams","F","2022-03-08","4090 Woodbury Place","Newton","British Columbia","Canada",6
15882,"Maurice NULL Xie","M","2021-09-28","9645 Prancing Drive","Beaverton","Oregon","United States",1
15883,"Tristan NULL Coleman","M","2022-04-04","308 Daffodil Dr.","Coronado","California","United States",4
